Časová pečiatka,ID,Condition,How well do you think you performed in the lego building task?,How much did you enjoy the lego building task?,How stressed were you during the lego building task?,How difficult was the lego building task?,How focused were you during the lego building task?,How fast did the time seem to be passing by during the lego building task?,How tiring was the lego building task?,How much attention did you pay to the timer during the lego building task?,How much experience did you have with building legos in the past?,"Where you familiar with the lego house six bricks challange, before the experiment?",What was the duration of the lego task? ,"During the tone estimation task, how did you estimate its time?",Number of lego models done,Number of lego models done correctly
11.12.2023 22:36:56,1,1,7,5,2,1,6,4,5,5,,no,5 min,counting in your mind,20,20
12.12.2023 11:28:40,2,2,2,6,5,4,3,4,3,3,1,no,I think like 5 min.,reimagining the sound in your head,6,5
12.12.2023 12:36:27,3,3,5,6,3,2,6,4,3,1,4,no,100,tapping along,12,12
12.12.2023 12:43:16,4,1,6,7,5,2,7,7,3,1,6,no,3,counting in your mind,16,16
12.12.2023 13:18:16,5,2,2,6,5,4,5,4,5,2,2,no,3,counting in your mind,13,13
12.12.2023 14:27:11,6,3,5,7,3,4,6,7,1,5,6,no,3 minutes,counting in your mind,12,10
12.12.2023 14:49:56,7,1,4,6,5,3,5,5,3,2,6,no,5 minutes,"counting in your mind, tapping along",12,10
12.12.2023 15:09:07,8,2,3,5,2,3,6,4,1,1,5,no,4,counting in your mind,11,9
12.12.2023 15:32:23,9,3,5,7,5,5,6,6,2,1,4,no,3 minutes,"counting in your mind, followed my heart beat",13,13
12.12.2023 15:52:21,10,1,5,7,5,4,7,6,2,2,5,no,5,counting in your mind,16,14
12.12.2023 16:19:17,11,2,5,7,4,4,6,4,2,2,5,no,5 minutes,"counting in your mind, reimagining the sound in your head, tapping along",18,15
12.12.2023 16:36:27,12,3,5,6,4,3,6,5,2,1,3,no,5,counting in your mind,10,10
13.12.2023 8:43:25,13,1,5,7,3,4,7,6,1,2,5,no,5,counting in your mind,16,12
13.12.2023 9:08:21,14,2,3,7,5,5,6,6,2,5,1,no,4,"counting in your mind, reimagining the sound in your head",10,9
13.12.2023 9:26:57,15,3,5,6,6,4,7,6,2,2,6,yes,5 minutes,"counting in your mind, reimagining the sound in your head",10,9
13.12.2023 9:44:42,16,1,5,7,4,3,6,4,2,3,5,no,5 minutes,counting in your mind,15,13
13.12.2023 10:13:25,17,2,5,5,3,3,6,6,3,2,6,no,4,"counting in your mind, reimagining the sound in your head, tried to count my pulse",10,8
13.12.2023 10:16:39,18,3,3,6,4,4,5,5,1,1,3,no,4 mins,counting in your mind,8,6
14.12.2023 10:17:28,19,1,5,7,2,4,5,4,1,1,5,no,3 min,reimagining the sound in your head,12,10
14.12.2023 10:37:56,20,2,5,7,3,4,6,4,1,2,6,yes,5 mins,"counting in your mind, reimagining the sound in your head, tapping along, heartbeat",21,20
14.12.2023 12:51:25,21,3,5,7,5,4,6,4,2,2,4,no,5,"counting in your mind, tapping along",10,9
14.12.2023 13:15:28,22,1,6,6,3,4,5,3,2,2,6,no,5 minutes??,"counting in your mind, reimagining the sound in your head",19,18
14.12.2023 13:35:59,23,2,5,7,6,4,7,5,3,2,6,no,3.5,nodded along,15,14
14.12.2023 13:54:09,24,3,4,6,5,4,5,5,2,2,6,no,4,counting in your mind,13,11
14.12.2023 14:36:05,25,1,6,6,2,2,7,5,4,5,4,no,5,"counting in your mind, reimagining the sound in your head, tapping along, tapping in fourths in my head, to get a more detailed idea about the time",21,18
14.12.2023 15:16:35,26,2,5,7,5,4,7,6,2,2,4,yes,3,counting in your mind,11,9
14.12.2023 15:32:19,27,3,4,7,5,5,7,7,4,2,1,no,5,"counting in your mind, reimagining the sound in your head",10,8
14.12.2023 15:53:05,28,1,6,7,6,4,7,6,1,3,7,no,5,counting in your mind,17,17
14.12.2023 16:11:04,29,2,5,7,7,5,7,2,2,1,6,no,5,counting in your mind,10,9
14.12.2023 16:32:48,30,3,6,7,4,2,6,7,1,1,6,no,3,counting in your mind,11,11